The Walking Dead, 1520211, http://akas.imdb.com/title/tt1520211/combined
Game of Thrones, 0944947, http://akas.imdb.com/title/tt0944947/combined
Daredevil, 3322312, http://akas.imdb.com/title/tt3322312/combined
House of Cards, 1856010, http://akas.imdb.com/title/tt1856010/combined
Vikings, 2306299, http://akas.imdb.com/title/tt2306299/combined
The Flash, 3107288, http://akas.imdb.com/title/tt3107288/combined
Gotham, 3749900, http://akas.imdb.com/title/tt3749900/combined
American Crime Story, 2788432, http://akas.imdb.com/title/tt2788432/combined
Arrow, 2193021, http://akas.imdb.com/title/tt2193021/combined
Once Upon a Time, 1843230, http://akas.imdb.com/title/tt1843230/combined
The Big Bang Theory, 0898266, http://akas.imdb.com/title/tt0898266/combined
Grey's Anatomy, 0413573, http://akas.imdb.com/title/tt0413573/combined
Supergirl, 4016454, http://akas.imdb.com/title/tt4016454/combined
Better Call Saul, 3032476, http://akas.imdb.com/title/tt3032476/combined
The Night Manager, 1399664, http://akas.imdb.com/title/tt1399664/combined
Fuller House, 3986586, http://akas.imdb.com/title/tt3986586/combined
Pretty Little Liars, 1578873, http://akas.imdb.com/title/tt1578873/combined
Supernatural, 0460681, http://akas.imdb.com/title/tt0460681/combined
Suits, 1632701, http://akas.imdb.com/title/tt1632701/combined
Flaked, 4973548, http://akas.imdb.com/title/tt4973548/combined
Lucifer, 4052886, http://akas.imdb.com/title/tt4052886/combined
Bosch, 3502248, http://akas.imdb.com/title/tt3502248/combined
Shameless, 1586680, http://akas.imdb.com/title/tt1586680/combined
Breaking Bad, 0903747, http://akas.imdb.com/title/tt0903747/combined
Legends of Tomorrow, 4532368, http://akas.imdb.com/title/tt4532368/combined
The X-Files, 0106179, http://akas.imdb.com/title/tt0106179/combined
Vinyl, 3186130, http://akas.imdb.com/title/tt3186130/combined
The Vampire Diaries, 1405406, http://akas.imdb.com/title/tt1405406/combined
How to Get Away with Murder, 3205802, http://akas.imdb.com/title/tt3205802/combined
Criminal Minds, 0452046, http://akas.imdb.com/title/tt0452046/combined
Agents of S.H.I.E.L.D., 2364582, http://akas.imdb.com/title/tt2364582/combined
Black Sails, 2375692, http://akas.imdb.com/title/tt2375692/combined
NCIS, 0364845, http://akas.imdb.com/title/tt0364845/combined
The Blacklist, 2741602, http://akas.imdb.com/title/tt2741602/combined
Quantico, 4428122, http://akas.imdb.com/title/tt4428122/combined
Orange Is the New Black, 2372162, http://akas.imdb.com/title/tt2372162/combined
Downton Abbey, 1606375, http://akas.imdb.com/title/tt1606375/combined
Modern Family, 1442437, http://akas.imdb.com/title/tt1442437/combined
Cuckoo, 2222352, http://akas.imdb.com/title/tt2222352/combined
Blindspot, 4474344, http://akas.imdb.com/title/tt4474344/combined
Damien, 4337944, http://akas.imdb.com/title/tt4337944/combined
American Horror Story, 1844624, http://akas.imdb.com/title/tt1844624/combined
Shadowhunters: The Mortal Instruments, 4145054, http://akas.imdb.com/title/tt4145054/combined
Teen Wolf, 1567432, http://akas.imdb.com/title/tt1567432/combined
Bates Motel, 2188671, http://akas.imdb.com/title/tt2188671/combined
Billions, 4270492, http://akas.imdb.com/title/tt4270492/combined
Limitless, 4422836, http://akas.imdb.com/title/tt4422836/combined
Person of Interest, 1839578, http://akas.imdb.com/title/tt1839578/combined
Jessica Jones, 2357547, http://akas.imdb.com/title/tt2357547/combined
Sons of Anarchy, 1124373, http://akas.imdb.com/title/tt1124373/combined
The Shannara Chronicles, 1051220, http://akas.imdb.com/title/tt1051220/combined
Sherlock, 1475582, http://akas.imdb.com/title/tt1475582/combined
The Magicians, 4254242, http://akas.imdb.com/title/tt4254242/combined
Friends, 0108778, http://akas.imdb.com/title/tt0108778/combined
Crowded, 4478002, http://akas.imdb.com/title/tt4478002/combined
The Americans, 2149175, http://akas.imdb.com/title/tt2149175/combined
Mr. Robot, 4158110, http://akas.imdb.com/title/tt4158110/combined
The Returned, 3230780, http://akas.imdb.com/title/tt3230780/combined
Full House, 0092359, http://akas.imdb.com/title/tt0092359/combined
Castle, 1219024, http://akas.imdb.com/title/tt1219024/combined
Of Kings and Prophets, 4387170, http://akas.imdb.com/title/tt4387170/combined
Prison Break, 0455275, http://akas.imdb.com/title/tt0455275/combined
New Girl, 1826940, http://akas.imdb.com/title/tt1826940/combined
Law & Order: Special Victims Unit, 0203259, http://akas.imdb.com/title/tt0203259/combined
Underground, 4522400, http://akas.imdb.com/title/tt4522400/combined
Criminal Minds: Beyond Borders, 4364202, http://akas.imdb.com/title/tt4364202/combined
The Family, 4428038, http://akas.imdb.com/title/tt4428038/combined
The Originals, 2632424, http://akas.imdb.com/title/tt2632424/combined
And Then There Were None, 3581932, http://akas.imdb.com/title/tt3581932/combined
Colony, 4209256, http://akas.imdb.com/title/tt4209256/combined
Scandal, 1837576, http://akas.imdb.com/title/tt1837576/combined
It's Always Sunny in Philadelphia, 0472954, http://akas.imdb.com/title/tt0472954/combined
The Good Wife, 1442462, http://akas.imdb.com/title/tt1442462/combined
Bones, 0460627, http://akas.imdb.com/title/tt0460627/combined
Fear the Walking Dead, 3743822, http://akas.imdb.com/title/tt3743822/combined
The Office, 0386676, http://akas.imdb.com/title/tt0386676/combined
Gilmore Girls, 0238784, http://akas.imdb.com/title/tt0238784/combined
How I Met Your Mother, 0460649, http://akas.imdb.com/title/tt0460649/combined
Homeland, 1796960, http://akas.imdb.com/title/tt1796960/combined
Grimm, 1830617, http://akas.imdb.com/title/tt1830617/combined
Dexter, 0773262, http://akas.imdb.com/title/tt0773262/combined
Happy Valley, 3428912, http://akas.imdb.com/title/tt3428912/combined
House M.D., 0412142, http://akas.imdb.com/title/tt0412142/combined
Outsiders, 4816626, http://akas.imdb.com/title/tt4816626/combined
Fargo, 2802850, http://akas.imdb.com/title/tt2802850/combined
Girls, 1723816, http://akas.imdb.com/title/tt1723816/combined
Hawaii Five-0, 1600194, http://akas.imdb.com/title/tt1600194/combined
Outlander, 3006802, http://akas.imdb.com/title/tt3006802/combined
True Detective, 2356777, http://akas.imdb.com/title/tt2356777/combined
Lost, 0411008, http://akas.imdb.com/title/tt0411008/combined
Narcos, 2707408, http://akas.imdb.com/title/tt2707408/combined
Doctor Who, 0436992, http://akas.imdb.com/title/tt0436992/combined
Agent Carter, 3475734, http://akas.imdb.com/title/tt3475734/combined
The Catch, 4396862, http://akas.imdb.com/title/tt4396862/combined
Brooklyn Nine-Nine, 2467372, http://akas.imdb.com/title/tt2467372/combined
Peaky Blinders, 2442560, http://akas.imdb.com/title/tt2442560/combined
Elementary, 2191671, http://akas.imdb.com/title/tt2191671/combined
