Game of Thrones, 0944947, http://akas.imdb.com/title/tt0944947/combined
The Walking Dead, 1520211, http://akas.imdb.com/title/tt1520211/combined
Fear the Walking Dead, 3743822, http://akas.imdb.com/title/tt3743822/combined
Outlander, 3006802, http://akas.imdb.com/title/tt3006802/combined
The Flash, 3107288, http://akas.imdb.com/title/tt3107288/combined
Daredevil, 3322312, http://akas.imdb.com/title/tt3322312/combined
Vikings, 2306299, http://akas.imdb.com/title/tt2306299/combined
Arrow, 2193021, http://akas.imdb.com/title/tt2193021/combined
Grey's Anatomy, 0413573, http://akas.imdb.com/title/tt0413573/combined
The 100, 2661044, http://akas.imdb.com/title/tt2661044/combined
Better Call Saul, 3032476, http://akas.imdb.com/title/tt3032476/combined
Supernatural, 0460681, http://akas.imdb.com/title/tt0460681/combined
The Blacklist, 2741602, http://akas.imdb.com/title/tt2741602/combined
Gotham, 3749900, http://akas.imdb.com/title/tt3749900/combined
The Ranch, 4998212, http://akas.imdb.com/title/tt4998212/combined
11.22.63, 2879552, http://akas.imdb.com/title/tt2879552/combined
House of Cards, 1856010, http://akas.imdb.com/title/tt1856010/combined
Once Upon a Time, 1843230, http://akas.imdb.com/title/tt1843230/combined
The Girlfriend Experience, 3846642, http://akas.imdb.com/title/tt3846642/combined
American Crime Story, 2788432, http://akas.imdb.com/title/tt2788432/combined
The Big Bang Theory, 0898266, http://akas.imdb.com/title/tt0898266/combined
Legends of Tomorrow, 4532368, http://akas.imdb.com/title/tt4532368/combined
Agents of S.H.I.E.L.D., 2364582, http://akas.imdb.com/title/tt2364582/combined
Supergirl, 4016454, http://akas.imdb.com/title/tt4016454/combined
Lucifer, 4052886, http://akas.imdb.com/title/tt4052886/combined
Billions, 4270492, http://akas.imdb.com/title/tt4270492/combined
The Vampire Diaries, 1405406, http://akas.imdb.com/title/tt1405406/combined
Breaking Bad, 0903747, http://akas.imdb.com/title/tt0903747/combined
Game of Silence, 4074374, http://akas.imdb.com/title/tt4074374/combined
Criminal Minds, 0452046, http://akas.imdb.com/title/tt0452046/combined
Banshee, 2017109, http://akas.imdb.com/title/tt2017109/combined
Shameless, 1586680, http://akas.imdb.com/title/tt1586680/combined
The Night Manager, 1399664, http://akas.imdb.com/title/tt1399664/combined
Unbreakable Kimmy Schmidt, 3339966, http://akas.imdb.com/title/tt3339966/combined
